2026-02-03 14:29:29.033 WARN  18888 --- [  restartedMain] o.f.c.i.c.DbValidate                     :45 - No migrations found. Are your locations set up correctly?
2026-02-03 14:29:29.807 WARN  18888 --- [  restartedMain] o.h.o.deprecation                        :152 - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-02-03 14:29:30.474 WARN  18888 --- [  restartedMain] JpaBaseConfiguration$JpaWebConfiguration :247 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-02-03 14:29:32.337 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50089
2026-02-03 14:29:32.617 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50078
2026-02-03 14:29:33.013 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50079
2026-02-03 14:29:33.134 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50083
2026-02-03 14:29:33.403 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50089
2026-02-03 14:29:33.434 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50083
2026-02-03 14:29:33.870 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50083
2026-02-03 14:29:33.945 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50079
2026-02-03 14:29:34.090 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50078
2026-02-03 14:29:34.182 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50089
2026-02-03 14:29:34.319 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50079
2026-02-03 14:29:34.540 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50089
2026-02-03 14:29:34.995 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50083
2026-02-03 14:29:35.035 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50089
2026-02-03 14:29:35.035 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50083
2026-02-03 14:29:35.409 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50089
2026-02-03 14:29:35.544 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50079
2026-02-03 14:29:35.672 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50089
2026-02-03 14:29:35.729 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50079
2026-02-03 14:29:35.930 WARN  18888 --- [pool-4-thread-1] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50079
2026-02-03 14:29:35.995 WARN  18888 --- [pool-4-thread-2] o.a.f.i.PassivePorts                     :245 - Passive port in use by another process: 50078
